State/Union Territory,Latitude,Longitude,Cases,Deaths,Recoveries,Active
Andaman and Nicobar Islands,11.66702557,92.73598262,47,0,36,11
Andhra Pradesh,14.7504291,78.57002559,8452,101,4111,4240
Arunachal Pradesh,27.10039878,93.61660071,135,0,14,121
Assam,26.7499809,94.21666744,4904,9,3039,1856
Bihar,25.78541445,87.4799727,7533,52,5529,1952
Chandigarh,30.71999697,76.78000565,404,6,316,82
Chhattisgarh,22.09042035,82.15998734,2041,11,1394,636
Dadra and Nagar Haveli and Daman and Diu,20.26657819,73.0166178,68,0,26,42
Delhi,28.6699929,77.23000403,56746,2112,31294,23340
Goa,15.491997,73.81800065,754,0,129,625
Gujarat,22.2587,71.1924,26680,1638,18694,6348
Haryana,28.45000633,77.01999101,10223,149,5128,4946
Himachal Pradesh,31.10002545,77.16659704,656,8,413,235
Jammu and Kashmir,34.29995933,74.46665849,5834,81,3336,2417
Jharkhand,23.80039349,86.41998572,1965,11,1335,619
Karnataka,12.57038129,76.91999711,8697,132,5391,3174
Kerala,8.900372741,76.56999263,3039,21,1568,1450
Ladakh,34.152588,77.577049,836,1,117,718
Lakshadweep,10.56257331,72.63686717,1,0,1,0
Madhya Pradesh,21.30039105,76.13001949,11724,501,8880,2343
Maharashtra,19.25023195,73.16017493,128205,5984,64153,58068
Manipur,24.79997072,93.95001705,777,0,232,545
Meghalaya,25.57049217,91.8800142,44,1,33,10
Mizoram,23.71039899,92.72001461,140,0,9,131
Nagaland,25.6669979,94.11657019,201,0,138,63
Odisha,19.82042971,85.90001746,4856,12,3534,1310
Puducherry,11.93499371,79.83000037,286,7,118,161
Punjab,31.51997398,75.98000281,3952,98,2678,1176
Rajasthan,26.44999921,74.63998124,14536,337,11274,2925
Sikkim,27.3333303,88.6166475,70,0,25,45
Tamil Nadu,12.92038576,79.15004187,56845,704,31316,24825
Telangana,18.1124,79.0193,7072,203,3506,3363
Tripura,23.83540428,91.27999914,1186,1,680,505
Uttar Pradesh,27.59998069,78.05000565,16594,507,9995,6092
Uttarakhand,30.32040895,78.05000565,2301,27,1450,824
West Bengal,22.58039044,88.32994665,13531,540,7865,5126